productId,name,price,image,shortDescription,longDescription
1,Kennedy Liner OG Deck,55,/images/og_liner_deck_kennedy.jpg,"Signature Cory Kennedy pro model. 7-ply maple construction. Nothing finer than a Girl OG Liner.","For a lively and durable ride look no further than the Girl Kennedy Horizon 8.12 inch skateboard deck. Moderate concave is certain to add a few new tricks to your rotation, while the classic Girl logo graphic provides iconic flair that is certainly worthy of wall display."
2, Chocolate Kenny OG Chunk Deck,60,/images/original_chunk.jpg,"Signature Kenny Anderson pro model. 7-ply maple construction. Classic beauty for Mr. Tershy!","Throw some color into your skate setup with the Kenny OG Chunk 8.25 inch skateboard deck from Chocolate. This deck features a huge Chocolate logo across the bottom for a ton of branded style, while the bold white, black and red design gives a slick tri-tone look. A moderate concave makes this deck easy to skate at any skill level, while the striking graphic makes it a great wall hanger as well."
3, Tensor Mag Light Trucks- Black,66,/images/tensor-mag-trucks.jpg,"This is for the Tensor, All Terrain, Mag Lights; hollow axle, hollow kingpin.", "Completely redesigned for enhanced skateboarding execution, Tensor re-introduces their 5.25 inch truck in a new Mag Light construction. Dressed up with an eye-catching black colorway, these trucks remain stylish and boast wonderful responsive turning, control, durability and lightweight performance."
4,Ricta Clouds 92a Wheels -Black- 54mm,33,/images/ricta-wheels.jpg,"Quick as greased lightning quiet as a highschooler sneaking in after curfew.","Purposely built to allow you to seamlessly transition from the park to the streets with ease, Ricta Wheel's signature Clouds 52mm 78a White Skateboard Wheels provide smooth performance no matter what terrain you find yourself shredding. A do-it-all set of wheels that offer a softer feel, the Clouds are durable and great for any skater at any skill level."
5,Enjoi Whitey Panda Logo R7 Deck,64,/images/enjoi-deck.jpg,"Pandas are cute, but they aren't afraid to stand up for themselves. This is the attack stance of our beloved panda. Just a fact.", "Pop your ollies to the moon with the Enjoi Whitey Panda Logo R7 Skateboard Deck 8.0 inch skateboard deck. This deck features mild concave for improved stability, while the wood grain style graphic throughout is complemented by a large panda at the bottom left for a subtle hint of classic branding too."
6,"Nike SB Nyjah Free 2.0 Shoes",95,/images/nike-sb.jpg,"The Nike SB Nyjah Free delivers the optimal grip of a rubber upper and the snug feel of an internal sleeve.","The Nyjah Free 2 pulls a popular silhouette from the Nike archives, integrating breathable, mesh panels into the rubber uppers of the Spiridon to reserve the durability while adding comfortable air flow to keep you cool. Ghillie loops add a singular style and function, protecting laces and adding to the 3/4 sockliner to ensure a snug, secure fit. Deep grooves in the rubber outsole allow for expansion and contraction so that your every move is complemented and cushioned. The result is a skate shoe that follows the precedent set by it's namesake by encapsulating strength, style and bombast in one sleek package."
7,"Independent Reynolds Forged Titanium Trucks",77,/images/independent-trucks.jpg,"Skate like The Boss himself with his new signature Reynolds Hollow 139 Stage 11 Block Silver Skateboard Truck.","10% lighter than regular forged Indy's, these Forged Hollow Trucks are an excellent mid-profile truck that grind like regular Indy's without the bulk. Featuring a hollow axle and kingpin, you get 10% weight reduction with all the shred capability you'll ever need."
8,"Rout Peaks Pintail Longboard Complete",124,/images/rout-longboard.jpg,"The Peaks series was designed with every skateboarder in mind, whether skateboarding is new to you or you've been skating for decades.","The Pintail has a classic shape. A pintail longs to be on the sandy boardwalks whisking through crowds of people. The pintail is the original longboard shape. It takes its style and shape cues from surfboards. Its design begs the rider to get low, to throw hips and shoulders into every turn just like a rider would on a wave. For these reasons, the Architect pintail is the perfect choice for the rider who is looking to transform flat surfaces like sidewalks and streets into concrete waves to carve, cruise, and shred. If youre are always searching for new turns, the Peaks is an incredible ride for your money."
9,"Bones Black Swiss Bearings",63,/images/bones-swiss.jpg,"Swiss precision bearings. Set of 8 bearings for a smooth rool. Choice of many top skate pros.","Legendary Bones Swiss bearings have been the industry standard ever since they were introduced in 1983, and are still a favorite with professional skaters. Fast, smooth, and very long lasting, they remain unequaled in their class. Set of eight."
10,"ProTec Full Cut Certified Snow Helmet",80,/images/pro-tec-helmet.jpg,"This original classic Full Cut style has been worn by a handful of top skaters and bikers over the decades.","Progress without the stress of taking a fall that'll put you out for the season. The ProTec Full Cut Certified Snow Helmet is a high-density, injection molded ABS shell helmet with an EPS impact liner that's certified for snow, skate and bike use. Removable and washable interior fit pads help customize your fit while detachable plush-lined ear pads and drop liner help keep you warm throughout the season. Stay warm and confident with this classic Pro-Tec Helmet style."
